n_estimators,max_depth,score
18,14,0.6519948169647861
22,1,0.2523424149044947
25,2,0.47487652977580275
28,3,0.6394779170186752
31,4,0.7439581827302453
34,5,0.782643658298074
37,6,0.8017026801678055
40,7,0.8033796817104858
43,8,0.7867493321773835
46,9,0.7464339946851555
49,10,0.7139814757597152
52,11,0.6578314164100747
55,12,0.6557631487369107
58,13,0.6289890791839673
61,14,0.6324123511461089
65,1,0.399848970266534
68,2,0.6386726912949352
71,3,0.737122325300291
74,4,0.7891709011003407
77,5,0.8053882972885785
80,6,0.8143461780073734
83,7,0.8074259416487105
86,8,0.7902642380629878
89,9,0.751816158019998
92,10,0.7186715559108452
95,11,0.6632806854383462
98,12,0.6570244195943488
101,13,0.632465128663678
104,14,0.6313617952356971
108,1,0.4639561186053177
111,2,0.6901410505289113
114,3,0.7618015709104528
117,4,0.8041820597001496
120,5,0.8118725424327632
123,6,0.8143137315683815
126,7,0.8098680187905176
129,8,0.7887746986810436
132,9,0.7487618170997067
135,10,0.7198926381286966
138,11,0.6616604450319892
141,12,0.6535719003643757
144,13,0.6308066923070983
147,14,0.6298700338437446
6,1,0.09692164698284642
9,2,0.2757243283931616
12,3,0.47350753454788397
15,4,0.6204492869527771
18,5,0.7220710263701857
21,6,0.762548896247453
24,7,0.7759037582377442
27,8,0.7707673063966297
30,9,0.7442134138156303
33,10,0.7155575371158794
36,11,0.667845696808649
39,12,0.6635127029192903
42,13,0.63512799032421
45,14,0.6355328557700828
49,1,0.36115074029824656
52,2,0.6048321810807074
55,3,0.7212033732118052
58,4,0.7810217796538008
61,5,0.7982811912632214
64,6,0.8102071693679765
67,7,0.8095036953450868
70,8,0.7889576121522479
73,9,0.752040604440128
76,10,0.7189146848040788
79,11,0.6588821778834706
82,12,0.6580587359082268
85,13,0.6283958204256778
88,14,0.6329486609618946
92,1,0.44463860752024686
95,2,0.6751547049413765
98,3,0.7553607638314435
101,4,0.8007736471929038
104,5,0.8117756982396189
107,6,0.8179827872531333
110,7,0.8124916534333538
113,8,0.7894367519224925
116,9,0.7519738783254271
119,10,0.7079450272221468
122,11,0.6613708494194082
125,12,0.6563264217622818
128,13,0.6231560650180337
131,14,0.6354358408811593
135,1,0.4890345789294276
138,2,0.707698790877502
141,3,0.770831172230839
144,4,0.8070839411731042
147,5,0.8159873662198865
5,6,0.44236226121141375
8,7,0.6065864211257022
11,8,0.6753583705788628
14,9,0.7035902197760275
17,10,0.7084112644240347
20,11,0.6730111003713936
23,12,0.6639722793055134
26,13,0.6497828817671676
29,14,0.6401944393483123
33,1,0.3091444559455006
36,2,0.5420825972464891
39,3,0.6880867020716067
