n_neighbors,algorithm,cv,dataset,score
44,brute,2,digits_data,0.9165262813668242
45,brute,2,digits_data,0.9154126956207218
46,brute,2,digits_data,0.9159701078406841
47,brute,2,digits_data,0.9143003485684416
48,brute,2,digits_data,0.9131873821692502
49,brute,2,digits_data,0.909848482971676
3,auto,3,digits_data,0.9682804674457429
4,auto,3,digits_data,0.9638286032276016
5,auto,3,digits_data,0.9627156371730662
6,auto,3,digits_data,0.9599332220367279
7,auto,3,digits_data,0.9593767390094602
8,auto,3,digits_data,0.9571508069003896
9,auto,3,digits_data,0.9565943238731219
10,auto,3,digits_data,0.9543683917640512
11,auto,3,digits_data,0.9543683917640511
12,auto,3,digits_data,0.9538119087367836
13,auto,3,digits_data,0.9510294936004451
14,auto,3,digits_data,0.9493600445186422
15,auto,3,digits_data,0.9471341124095716
16,auto,3,digits_data,0.9465776293823037
17,auto,3,digits_data,0.9454646633277685
18,auto,3,digits_data,0.9476905954368391
19,auto,3,digits_data,0.9454646633277685
20,auto,3,digits_data,0.941569282136895
21,auto,3,digits_data,0.941569282136895
22,auto,3,digits_data,0.9432387312186977
23,auto,3,digits_data,0.9404563160823596
24,auto,3,digits_data,0.941569282136895
25,auto,3,digits_data,0.9398998330550917
26,auto,3,digits_data,0.9376739009460211
27,auto,3,digits_data,0.9376739009460211
28,auto,3,digits_data,0.9365609348914857
29,auto,3,digits_data,0.9360044518642182
30,auto,3,digits_data,0.934891485809683
31,auto,3,digits_data,0.934891485809683
32,auto,3,digits_data,0.9343350027824151
33,auto,3,digits_data,0.9332220367278797
34,auto,3,digits_data,0.9321090706733445
35,auto,3,digits_data,0.9326655537006122
36,auto,3,digits_data,0.9304396215915416
37,auto,3,digits_data,0.9293266555370062
38,auto,3,digits_data,0.9304396215915416
39,auto,3,digits_data,0.928213689482471
40,auto,3,digits_data,0.928213689482471
41,auto,3,digits_data,0.9271007234279355
42,auto,3,digits_data,0.9265442404006677
43,auto,3,digits_data,0.9259877573734002
44,auto,3,digits_data,0.9243183082915971
45,auto,3,digits_data,0.9220923761825265
46,auto,3,digits_data,0.9237618252643295
47,auto,3,digits_data,0.9237618252643295
48,auto,3,digits_data,0.9243183082915971
49,auto,3,digits_data,0.9232053422370617
3,ball_tree,3,digits_data,0.9682804674457429
4,ball_tree,3,digits_data,0.9638286032276016
5,ball_tree,3,digits_data,0.9627156371730662
6,ball_tree,3,digits_data,0.9599332220367279
7,ball_tree,3,digits_data,0.9593767390094602
8,ball_tree,3,digits_data,0.9565943238731219
9,ball_tree,3,digits_data,0.9565943238731219
10,ball_tree,3,digits_data,0.9549248747913189
11,ball_tree,3,digits_data,0.9543683917640511
12,ball_tree,3,digits_data,0.9538119087367836
13,ball_tree,3,digits_data,0.9510294936004451
14,ball_tree,3,digits_data,0.9493600445186422
15,ball_tree,3,digits_data,0.9471341124095716
16,ball_tree,3,digits_data,0.9471341124095716
17,ball_tree,3,digits_data,0.9454646633277685
18,ball_tree,3,digits_data,0.9476905954368391
19,ball_tree,3,digits_data,0.9454646633277685
20,ball_tree,3,digits_data,0.9421257651641625
21,ball_tree,3,digits_data,0.9410127991096271
22,ball_tree,3,digits_data,0.9432387312186977
23,ball_tree,3,digits_data,0.9404563160823596
24,ball_tree,3,digits_data,0.9410127991096271
25,ball_tree,3,digits_data,0.9398998330550917
26,ball_tree,3,digits_data,0.9376739009460211
27,ball_tree,3,digits_data,0.938230383973289
28,ball_tree,3,digits_data,0.9365609348914857
29,ball_tree,3,digits_data,0.9360044518642182
30,ball_tree,3,digits_data,0.934891485809683
31,ball_tree,3,digits_data,0.934891485809683
32,ball_tree,3,digits_data,0.9343350027824151
33,ball_tree,3,digits_data,0.9332220367278797
34,ball_tree,3,digits_data,0.9321090706733445
35,ball_tree,3,digits_data,0.9326655537006122
36,ball_tree,3,digits_data,0.9304396215915416
37,ball_tree,3,digits_data,0.9293266555370062
38,ball_tree,3,digits_data,0.9304396215915416
39,ball_tree,3,digits_data,0.9287701725097385
40,ball_tree,3,digits_data,0.9276572064552031
41,ball_tree,3,digits_data,0.9271007234279355
42,ball_tree,3,digits_data,0.9265442404006677
43,ball_tree,3,digits_data,0.9259877573734002
44,ball_tree,3,digits_data,0.9243183082915971
45,ball_tree,3,digits_data,0.9220923761825265
46,ball_tree,3,digits_data,0.9237618252643295
47,ball_tree,3,digits_data,0.9237618252643295
48,ball_tree,3,digits_data,0.9232053422370617
49,ball_tree,3,digits_data,0.9237618252643295
3,kd_tree,3,digits_data,0.9682804674457429
4,kd_tree,3,digits_data,0.9638286032276016
5,kd_tree,3,digits_data,0.9627156371730662
6,kd_tree,3,digits_data,0.9599332220367279
7,kd_tree,3,digits_data,0.9593767390094602
8,kd_tree,3,digits_data,0.9571508069003896
9,kd_tree,3,digits_data,0.9565943238731219
10,kd_tree,3,digits_data,0.9549248747913189
11,kd_tree,3,digits_data,0.9543683917640511
12,kd_tree,3,digits_data,0.9538119087367836
13,kd_tree,3,digits_data,0.9510294936004451
14,kd_tree,3,digits_data,0.9493600445186422
15,kd_tree,3,digits_data,0.9471341124095716
16,kd_tree,3,digits_data,0.9471341124095716
17,kd_tree,3,digits_data,0.9454646633277685
18,kd_tree,3,digits_data,0.9476905954368391
19,kd_tree,3,digits_data,0.9454646633277685
20,kd_tree,3,digits_data,0.941569282136895
21,kd_tree,3,digits_data,0.9410127991096271
22,kd_tree,3,digits_data,0.9432387312186977
23,kd_tree,3,digits_data,0.9404563160823596
24,kd_tree,3,digits_data,0.9410127991096271
25,kd_tree,3,digits_data,0.9398998330550917
26,kd_tree,3,digits_data,0.9376739009460211
27,kd_tree,3,digits_data,0.938230383973289
28,kd_tree,3,digits_data,0.9365609348914857
